Function,Name,Dll,AmountInGoodwares,AmountInRansomwares
b'GetLocalTime',403,8,392,11
b'GetSystemTime',403,6,399,4
b'WindowsGetStringRawBuffer',400,1,400,0
b'UnmapViewOfFile',399,6,398,1
b'WindowsCreateStringReference',399,1,399,0
b'LoadLibraryExA',397,7,392,5
b'DeviceIoControl',396,5,394,2
b'HeapDestroy',395,5,393,2
b'SetFilePointer',394,7,378,17
b'wcstoul',394,7,393,1
b'CreateEventExW',392,4,392,0
b'DuplicateHandle',387,5,381,6
b'RoOriginateError',384,2,384,0
b'GetFileSize',384,7,378,6
b'InitOnceBeginInitialize',380,3,380,0
b'GlobalFree',379,6,370,9
b'SetThreadpoolTimer',377,2,377,0
b'WindowsDeleteString',376,1,376,0
b'EventActivityIdControl',374,4,374,0
b'MapViewOfFile',374,6,373,1
b'InitOnceComplete',371,3,371,0
b'VirtualQuery',370,7,363,10
b'CoCreateFreeThreadedMarshaler',369,4,369,0
b'CreateThreadpoolTimer',368,2,368,0
b'DispatchMessageW',368,3,365,3
b'CloseThreadpoolTimer',365,2,365,0
b'RoGetActivationFactory',363,1,363,0
b'HeapSetInformation',362,4,356,6
b'WaitForMultipleObjects',362,5,356,6
b'SendMessageW',361,2,359,2
b'FreeLibraryAndExitThread',359,5,359,0
b'CreateFileMappingW',359,6,358,1
b'WaitForThreadpoolTimerCallbacks',359,2,359,0
b'NtClose',355,1,354,1
b'HeapSize',352,6,334,18
b'??_V@YAXPEAX@Z',351,4,351,0
b'ConvertSidToStringSidW',351,2,350,1
b'TranslateMessage',349,4,343,6
b'CreateMutexW',349,5,349,0
b'EtwTraceMessage',347,1,347,0
b'CLSIDFromString',347,5,346,1
b'GlobalAlloc',346,6,333,13
b'__wgetmainargs',345,3,345,0
b'strchr',345,7,344,1
b'VirtualProtect',340,8,330,10
b'DebugBreak',339,4,339,0
b'calloc',339,6,335,4
b'lstrcmpW',338,4,336,2
b'InitOnceExecuteOnce',336,3,336,0
b'RevertToSelf',335,4,332,3
b'WaitForMultipleObjectsEx',334,4,334,0
b'CoCreateGuid',334,6,334,0
b'GetWindowLongPtrW',334,2,334,0
b'WindowsCreateString',333,1,333,0
