Function,Name,Dll,AmountInGoodwares,AmountInRansomwares
b'WSDDetachLinkedMemory',2,1,2,0
b'NtGdiDdDDICreateAllocation',2,2,2,0
b'WSDCreateMetadataAgent',2,1,2,0
b'NtGdiDdDDICreateKeyedMutex2',2,2,2,0
b'CreatePropVariant',2,1,2,0
b'NtGdiDdDDICreateOutputDupl',2,2,2,0
b'WSManCloseEnumeratorHandle',2,1,2,0
b'WSManClosePublisherHandle',2,1,2,0
b'MprAdminServerGetCredentials',2,1,2,0
b'MprAdminServerGetInfo',2,1,2,0
b'MprAdminServerGetInfoEx',2,1,2,0
b'MprAdminServerSetCredentials',2,1,2,0
b'NtGdiDdDDIDestroyAllocation',2,2,2,0
b'NtGdiDdDDICreateSynchronizationObject',2,2,2,0
b'NtGdiDdDDICreateOverlay',2,2,2,0
b'NtGdiDdDDICreateSwapChain',2,2,2,0
b'NtGdiDdDDICreatePagingQueue',2,2,2,0
b'MprAdminServerSetInfoEx',2,1,2,0
b'CreateProxyArpEntry',2,1,2,0
b'SetVolumeLabelA',2,1,1,1
b'CreatePropertyStore',2,1,2,0
b'NtGdiDdDDIGetContextInProcessSchedulingPriority',2,2,2,0
b'NtGdiDdDDIGetContextSchedulingPriority',2,2,2,0
b'NtGdiDdDDIGetDWMVerticalBlankEvent',2,2,2,0
b'WTSFreeMemoryExW',2,1,2,0
b'NtGdiDdDDIOfferAllocations',2,2,2,0
b'PcwCreateNotifier',2,1,2,0
b'NtGdiDdDDINetDispStopSessions',2,2,2,0
b'CredWriteDomainCredentialsW',2,1,2,0
b'CredVaultWrite',2,1,2,0
b'CredVaultRead',2,1,2,0
b'SetSystemPaletteUse',2,1,2,0
b'NtGdiDdDDINetDispStopMiracastDisplayDevice',2,2,2,0
b'CredUnmarshalTargetInfo',2,1,2,0
b'NtGdiDdDDINetDispStartMiracastDisplayDevice',2,2,2,0
b'NtGdiDdDDINetDispQueryMiracastDisplayDeviceSupport',2,2,2,0
b'SetSystemPowerState',2,2,0,2
b'NtGdiDdDDINetDispQueryMiracastDisplayDeviceStatus',2,2,2,0
b'NtGdiDdDDINetDispGetNextChunkInfo',2,2,2,0
b'SetTermsrvAppInstallMode',2,1,2,0
b'NtGdiDdDDIOpenAdapterFromDeviceName',2,2,2,0
b'NtGdiDdDDIOpenAdapterFromHdc',2,2,2,0
b'WaitCommEvent',2,2,2,0
b'NtGdiDdDDIOpenResourceFromNtHandle',2,2,2,0
b'PcwSendStatelessNotification',2,1,2,0
b'PcwSendNotification',2,1,2,0
b'SetSortBy',2,1,2,0
b'CryptCATEnumerateCatAttr',2,1,2,0
b'?getSize@MapIcon@nmacore@@QEBA?AVSizeInPixels@ngeo@@XZ',2,1,2,0
b'PcwRemoveQueryItem',2,1,2,0
b'PcwEnumerateInstances',2,1,2,0
b'NtGdiDdDDIOpenAdapterFromLuid',2,2,2,0
b'NtGdiDdDDIOpenResource',2,2,2,0
b'WaitForServerReady',2,1,2,0
b'NtGdiDdDDIOpenNtHandleFromName',2,2,2,0
b'NtGdiDdDDIOpenKeyedMutex2',2,2,2,0
b'NtGdiDdDDIOpenKeyedMutex',2,2,2,0
b'WaitForMachinePolicyForegroundProcessingInternal',2,1,2,0
b'NtGdiDdDDIMarkDeviceAsError',2,2,2,0
b'?get_attribute@RoadElement@ngeo@@QEBA_NW4Attribute@12@@Z',2,1,2,0
b'NtGdiDdDDIGetDeviceState',2,2,2,0
b'WTSEnumerateSessionsExW',2,1,2,0
b'CreateUrlCacheEntryW',2,1,2,0
b'SetThreadGroupAffinity',2,1,2,0
b'NtGdiDdDDIGetProcessSchedulingPriorityClass',2,2,2,0
b'??0CCBase@DirectUI@@QEAA@KPEBG@Z',2,1,2,0
b'NtGdiDdDDIGetPresentQueueEvent',2,2,2,0
b'NtGdiDdDDIGetPresentHistory',2,2,2,0
b'CreateUnicastIpAddressEntry',2,1,2,0
b'CreateURLMonikerEx',2,1,2,0
b'CreateTypeLib',2,1,2,0
b'SetThreadIdealProcessorEx',2,1,2,0
b'NtGdiDdDDIGetOverlayState',2,2,2,0
b'NtGdiDdDDIGetMultisampleMethodList',2,2,2,0
b'NtGdiDdDDIGetDisplayModeList',2,2,2,0
b'?get_capture_surface@View@ngeo@@QEBAPEBVSurface@2@XZ',2,1,2,0
b'CreateTmInstanceForRemoteAdmin',2,1,2,0
b'MprAdminIsServiceInitialized',2,1,2,0
b'NtGdiDdDDIGetResourcePresentPrivateDriverData',2,2,2,0
b'NtGdiDdDDIGetRuntimeData',2,2,2,0
b'CreateWrapFileNameStm',2,1,2,0
b'NtGdiDdDDIMapGpuVirtualAddress',2,2,2,0
b'NtGdiDdDDIMakeResident',2,2,2,0
b'NtGdiDdDDILock2',2,2,2,0
b'NtGdiDdDDILock',2,2,2,0
b'NtGdiDdDDIInvalidateCache',2,2,2,0
b'?get_bbox@Location@ngeo@@QEBAAEBVGeoRect@2@XZ',2,1,2,0
b'?get_blue@Color@ngeo@@QEBAEXZ',2,1,2,0
b'NtGdiDdDDIGetSetSwapChainMetadata',2,2,2,0
b'NtGdiDdDDIInvalidateActiveVidPn',2,2,2,0
b'NtGdiDdDDIGetSharedResourceAdapterLuid',2,2,2,0
b'WTGetSignatureInfo',2,1,2,0
b'NtGdiDdDDIGetSharedPrimaryHandle',2,2,2,0
b'WSManSetSessionOption',2,1,2,0
b'?get_bottom_right@PixelRect@ngeo@@QEBA?AVPixelCoordinates@2@XZ',2,1,2,0
b'VarI1FromI8',2,1,2,0
b'VarI1FromI4',2,1,2,0
b'CursorLibTransact',2,1,2,0
b'?to_pixel@Map@ngeo@@QEBA?AW4ErrorCode@2@AEBVGeoCoordinates@2@AEAVPixelCoordinates@2@W4AltitudeMode@12@@Z',2,1,2,0
b'ReadPolicyWithFallback',2,1,2,0
b'?to_utf8@ustring@ngeo@@QEBA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ',2,1,2,0
b'NlaCreatePluginRequests',2,1,2,0
b'Bcp47Normalize',2,1,2,0
b'NlaAddToPluginRequests',2,1,2,0
b'StrToIntExA',2,2,1,1
b'Bcp47GetIsoLanguageCode',2,1,2,0
b'?try_lock_for@critical_section@Concurrency@@QEAA_NI@Z',2,2,2,0
b'KsCreatePin',2,1,2,0
b'??0?$AutoRelease@UIErrorInfo@@@@QEAA@XZ',2,1,2,0
b'NhGetInterfaceNameFromGuid',2,1,2,0
b'Bcp47FromHkl',2,1,2,0
b'PathCombineA',2,1,2,0
b'BcdSetElementDataWithFlags',2,1,2,0
b'NhGetInterfaceNameFromDeviceGuid',2,1,2,0
b'?to_string@Identifier@ngeo@@QEBA?AVustring@2@XZ',2,1,2,0
b'NlaDeletePluginRequests',2,1,2,0
b'BrBufferFree',2,1,2,0
b'StrSpnA',2,2,2,0
b'BluetoothSendAuthenticationResponseEx',2,1,2,0
b'ReadPwrScheme',2,1,2,0
b'?swap@?$basic_iostream@GU?$char_traits@G@std@@@std@@IEAAXAEAV12@@Z',2,2,2,0
b'?swap@?$basic_streambuf@GU?$char_traits@G@std@@@std@@IEAAXAEAV12@@Z',2,2,2,0
b'?symbolFromAddress@priv@spl_v18@@YA_NPEBXPEAD_K@Z',2,1,2,0
b'?sysInfoCPUInfo@spl_v18@@YAXIAEAUCPUInfo@1@@Z',2,1,2,0
b'BluetoothEnableDiscovery',2,2,2,0
b'StrRChrIA',2,1,2,0
b'?tellg@?$basic_istream@DU?$char_traits@D@std@@@std@@QEAA?AV?$fpos@H@2@XZ',2,1,2,0
b'StrRStrIA',2,1,2,0
b'PUIAPI_ShowDriverPackageRemovalUI',2,1,2,0
b'BluetoothAddressToString',2,1,2,0
b'PVGetCertificateParam',2,1,2,0
b'StrRetToBSTR',2,1,2,0
b'?to_geo@Map@ngeo@@QEBA?AVGeoCoordinates@2@AEBVPixelCoordinates@2@W4AltitudeMode@12@@Z',2,1,2,0
b'?unlock@MutexCore@internal@auf_v18@@QEAAXXZ',2,1,2,0
b'BcdImportStoreWithFlags',2,1,2,0
b'BcdForciblyUnloadStore',2,1,2,0
b'KeStackAttachProcess',2,1,2,0
b'BaseFlushAppcompatCache',2,1,2,0
b'?wait@Event@auf_v18@@QEAA_N_K@Z',2,1,2,0
b'NetApiBufferReallocate',2,1,2,0
b'?wait@_Condition_variable@details@Concurrency@@QEAAXAEAVcritical_section@3@@Z',2,2,2,0
b'BaseCheckAppcompatCache',2,1,2,0
b'Base64StrToSafeArray',2,1,2,0
b'?wait_for@_Condition_variable@details@Concurrency@@QEAA_NAEAVcritical_section@3@I@Z',2,2,2,0
b'?wcout@std@@3V?$basic_ostream@GU?$char_traits@G@std@@@1@A',2,2,2,0
b'ReadEventLogA',2,1,2,0
b'SubscribeEdpEnabledStateChange',2,1,2,0
b'?weak_referencable_alloc_aux@internal@auf_v18@@YAPEAX_K@Z',2,1,2,0
b'?weak_referencable_dealloc_aux@internal@auf_v18@@YAXPEAX@Z',2,1,2,0
b'?widen@?$ctype@D@std@@QEBADD@Z',2,2,2,0
b'?widen@?$ctype@G@std@@QEBAPEBDPEBD0PEAG@Z',2,1,2,0
b'BCryptUnregisterProvider',2,1,2,0
b'StringToBytes',2,1,2,0
b'BaseInitAppcompatCacheSupport',2,1,2,0
b'StringIsBlank',2,1,2,0
b'NeedCurrentDirectoryForExePathW',2,1,2,0
b'BcdEnumerateElements',2,1,2,0
b'BcdDeleteSystemStore',2,1,2,0
b'?unshift@?$codecvt@DDH@std@@QEBAHAEAHPEAD1AEAPEAD@Z',2,1,2,0
b'BcdCreateStore',2,1,2,0
b'BcdCreateObject',2,1,2,0
b'BcdCopyObjects',2,1,2,0
b'BcdCopyObject',2,1,2,0
b'KeUnstackDetachProcess',2,1,2,0
b'??0?$AutoRelease@UIClientSecurity@@@@QEAA@XZ',2,1,2,0
b'PackageRepositoryAllocate',2,1,2,0
b'PackageRepositoryFree',2,1,2,0
b'StringCchEquals',2,1,2,0
b'PackageSidFromFamilyName',2,2,2,0
b'StringCchStartsWithCI',2,1,2,0
b'BluetoothUnregisterAuthentication',2,1,2,0
b'BrCheckCallerIsAppContainer',2,1,2,0
b'VarI1FromI2',2,1,2,0
b'StgIsStorageILockBytes',2,1,2,0
b'?set_x_accuracy_m@Location@ngeo@@QEAAXM@Z',2,1,2,0
b'?set_y@PixelCoordinates@ngeo@@QEAAXM@Z',2,1,2,0
b'StgSerializePropVariant',2,1,2,0
b'?set_y_accuracy_m@Location@ngeo@@QEAAXM@Z',2,1,2,0
b'PathGetArgsA',2,1,2,0
b'ReadStreamContentA',2,1,2,0
b'?set_z_accuracy_m@Location@ngeo@@QEAAXM@Z',2,1,2,0
b'ByteArrayToSafeArray',2,1,2,0
b'ToplScheduleImport',2,1,2,0
b'?setf@ios_base@std@@QEAAHH@Z',2,1,2,0
b'BuildTrusteeWithNameW',2,1,2,0
b'ToplScheduleExportReadonly',2,1,2,0
b'ToplScheduleDuration',2,1,2,0
b'BuildLDAPPathFromADsPath2',2,1,2,0
b'BuildCommDCBW',2,1,2,0
b'??0?$AutoRelease@UIWbemClassObject@@@@QEAA@XZ',2,1,2,0
b'?set_x@PixelCoordinates@ngeo@@QEAAXM@Z',2,1,2,0
b'StrFormatKBSizeA',2,1,2,0
b'?set_width@LineAttributes@ngeo@@QEAAXI@Z',2,1,2,0
b'TpWaitForJobNotification',2,1,2,0
b'StackWalk64',2,1,2,0
b'?set_route_options@RoutePlan@ngeo@@QEAAXAEBVRouteOptions@2@@Z',2,1,2,0
b'CDGetIntegrityVect',2,1,2,0
b'CDFindCommonCSystem',2,1,2,0
b'?set_semantic_type@RasterTileSourceBase@ngeo@@QEAAXW4MapSemanticType@2@@Z',2,1,2,0
b'?set_speed_m_s@Location@ngeo@@QEAAXN@Z',2,1,2,0
b'TpReleaseJobNotification',2,1,2,0
b'PSPropertyBag_ReadStream',2,1,2,0
b'TpQueryPoolStackInformation',2,1,2,0
b'?set_timestamp@Location@ngeo@@QEAAX_J@Z',2,1,2,0
b'TpDisablePoolCallbackChecks',2,1,2,0
b'TpCaptureCaller',2,1,2,0
b'TpCallbackIndependent',2,1,2,0
b'TpAllocJobNotification',2,1,2,0
b'StrCSpnA',2,2,2,0
b'RasSetAutodialAddressW',2,1,2,0
b'ToplScheduleCacheDestroy',2,1,2,0
b'BufferedPaintSetAlpha',2,1,2,0
b'PUIAPI_GetPrinter',2,1,2,0
b'ReadServerSupportsIsADAMControl',2,1,2,0
b'?stop@BaseEngine@nmacore@@UEAAXXZ',2,1,2,0
b'BrUnlockBroker',2,1,2,0
b'?stop@BaseEngine@nmacore@Microsoft@@UEAAXXZ',2,1,2,0
b'KeSaveExtendedProcessorState',2,2,2,0
b'PUIAPI_ShowBrowseForPrinterDialog',2,1,2,0
b'BrLockBroker',2,1,2,0
b'?stopInternal@auf_v18@@YAXXZ',2,1,2,0
b'NlmGetBestCostNetworkConnection',2,1,2,0
b'StrFormatByteSize64A',2,1,0,2
b'BrFindBrokeredEvent',2,1,2,0
b'NlaRefreshQuery',2,1,2,0
b'?suspendEngine@BaseEngine@nmacore@@UEAA_NXZ',2,1,2,0
b'?suspendEngine@BaseEngine@nmacore@Microsoft@@UEAA_NXZ',2,1,2,0
b'BrandingLoadImage',2,1,2,0
b'KeRestoreExtendedProcessorState',2,2,2,0
b'?start@BaseEngine@nmacore@Microsoft@@UEAAXXZ',2,1,2,0
b'ReadServerSupportsIsADControl',2,1,2,0
b'ToplScheduleCacheCreate',2,1,2,0
b'ToplPScheduleValid',2,1,2,0
b'?shutdown@VSAFilter@@QEAAJXZ',2,1,2,0
b'BthpEnableAllServices',2,1,2,0
b'RasSetCalledIdInfo',2,1,2,0
b'BthProcessEventOccurrenceResultBthaddr',2,1,2,0
b'PSPropertyBag_WritePropertyKey',2,1,2,0
b'?start@BaseEngine@nmacore@@UEAAXXZ',2,1,2,0
b'PSPropertyBag_WriteStream',2,1,2,0
b'PSPropertyKeyFromString',2,1,2,0
b'ToplIsToplException',2,1,2,0
b'?snextc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QEAAHXZ',2,1,2,0
b'PUIAPI_CreateInstance',2,1,2,0
b'BringSheetToForeground',2,1,2,0
b'BCryptRegisterProvider',2,1,2,0
b'NetDfsAddFtRoot',2,1,2,0
b'ADSIPrint',2,1,2,0
b'NetSetupSynchronizeDevices',2,1,2,0
b'Tbsi_GetDeviceInfo',2,1,2,0
b'AccSetRunningUtilityState',2,1,2,0
b'NetLocalGroupEnum',2,1,2,0
b'NetLocalGroupGetInfo',2,2,2,0
b'NetLocalGroupSetInfo',2,2,2,0
b'NetLogonGetTimeServiceParentDomain',2,1,2,0
b'SymUnloadModule64',2,1,2,0
b'AppContainerUnregisterSid',2,1,2,0
b'AppContainerRegisterSid',2,1,2,0
b'ParametersToWMIObject',2,1,2,0
b'AppContainerLookupDisplayNameMrtReference',2,1,2,0
b'AccessibleObjectFromEvent',2,2,1,1
b'ApHostServerStatus_EnsureServerReady',2,1,2,0
b'NetQueryDisplayInformation',2,1,2,0
b'NetSetupRollback',2,1,2,0
b'Tbsi_Physical_Presence_Command',2,1,2,0
b'RasUpdateConnection',2,1,2,0
b'wscanf',2,1,2,0
b'NetShareDelEx',2,1,2,0
b'SymGetOptions',2,1,2,0
b'SymGetSearchPath',2,1,2,0
b'ASN1DEREncFlushBlkElement',2,1,2,0
b'ASN1DEREncMultibyteString',2,1,2,0
b'ASN1DEREncNewBlkElement',2,1,2,0
b'ASN1DEREncUTCTime',2,1,2,0
b'ASN1DEREncUTF8String',2,1,2,0
b'ApplicationRecoveryInProgress',2,1,2,0
b'ApplicationRecoveryFinished',2,1,2,0
b'NetUseAdd',2,1,2,0
b'SymGetTypeInfo',2,1,2,0
b'AppendRDN',2,1,2,0
b'AppendPrinterNotifyInfoData',2,1,2,0
b'ASN1char16string_free',2,1,2,0
b'NetShareDelSticky',2,1,2,0
b'NetSetupGetObjectPropertyKeys',2,1,2,0
b'THGetErrorString',2,1,2,0
b'THFree',2,1,2,0
b'NetRemoteTOD',2,1,2,0
b'NetServerTransportEnum',2,2,2,0
b'ParseURLA',2,1,2,0
b'AdjustWindowRectExForDpi',2,1,2,0
b'ParsePoomIdFromString',2,1,2,0
b'AdjustTokenGroups',2,1,2,0
b'TF_GetShowFloatingStatus',2,1,2,0
b'SzGetCertificateEmailAddress',2,1,2,0
b'AdjustCalendarDate',2,1,2,0
b'AddPrinterConnection2W',2,1,2,0
b'AddUsersToEncryptedFileEx',2,1,2,0
b'AddUsersToEncryptedFile',2,1,2,0
b'TF_CreateCategoryMgr',2,1,2,0
b'TF_CreateDisplayAttributeMgr',2,1,2,0
b'TF_CreateInputProcessorProfiles',2,1,2,0
b'NetSessionGetInfo',2,1,2,0
b'AddIScsiStaticTargetW',2,1,2,0
b'NetServerStatisticsGet',2,1,2,0
b'SystemFunction027',2,1,2,0
b'AllowRemoteCalls',2,1,2,0
b'AlpcMaxAllowedMessageLength',2,1,2,0
b'AddColumnsToList',2,1,2,0
b'THDestroy',2,1,2,0
b'THCreate',2,1,2,0
b'THClearErrors',2,1,2,0
b'THAlloc',2,1,2,0
b'SyspartGetSystemPartition',2,1,2,0
b'PartialReplyPrinterChangeNotification',2,1,2,0
b'RasSetTunnelEndPoints',2,1,2,0
b'TF_SetShowFloatingStatus',2,1,2,0
b'AllocSplStr',2,1,2,0
b'AlignRects',2,1,2,0
b'SystemFunction008',2,2,2,0
b'SystemFunction011',2,1,2,0
b'ASN1DEREncEndBlk',2,1,2,0
b'ASN1DEREncChar32String',2,1,2,0
b'ASN1DEREncChar16String',2,1,2,0
b'AuditEnumerateCategories',2,1,2,0
b'AuthziFreeAuditParams',2,1,2,0
b'ARGBColorFromEnumI',2,1,2,0
b'AuthziAllocateAuditParams',2,1,2,0
b'NetValidatePasswordPolicyFree',2,1,2,0
b'AuthzRegisterSecurityEventSource',2,1,2,0
b'NetDfsRemoveFtRoot',2,1,2,0
b'ASFGetTimeBase',2,1,2,0
b'ASFSendTimeToTime',2,1,2,0
b'NetUserModalsSet',2,1,2,0
b'ASN1BERDecChar16String',2,1,2,0
b'ASN1BERDecNull',2,1,2,0
b'ASN1BERDecObjectIdentifier2',2,1,2,0
b'AuditSetSecurity',2,1,2,0
b'AuditQuerySecurity',2,1,2,0
b'AuditLookupCategoryNameW',2,1,2,0
b'NetWkstaStatisticsGet',2,1,2,0
b'AuthziInitializeAuditParamsWithRM',2,1,2,0
b'SwDeviceInterfacePropertySet',2,1,2,0
b'NetDfsAddStdRoot',2,1,2,0
b'??0?$AutoDelete@VTSTRBUFFER@@@@QEAA@PEAVTSTRBUFFER@@@Z',2,1,2,0
b'ReadConsoleOutputAttribute',2,2,2,0
b'BCryptEnumAlgorithms',2,2,2,0
b'NetpwListTraverse',2,1,2,0
b'NetpwListCanonicalize',2,1,2,0
b'ReadConsoleOutputA',2,1,2,0
b'RasSetEapUserDataAEx',2,1,2,0
b'AuthziSourceAudit',2,1,2,0
b'NetDfsGetClientInfo',2,2,2,0
b'RasSetEntryPropertiesW',2,1,2,0
b'ADsObject',2,1,2,0
b'ADsPropCreateNotifyObj',2,1,2,0
b'AvQuerySystemResponsiveness',2,1,2,0
b'ADsPropGetInitInfo',2,1,2,0
b'ASN1BERDecUTCTime',2,1,2,0
b'ASN1BERDotVal2Eoid',2,1,2,0
b'ASN1DEREncBeginBlk',2,1,2,0
b'ASN1BEREncEoid',2,1,2,0
b'NetGroupDel',2,1,2,0
b'NetGroupDelUser',2,1,2,0
b'AtqFreeContext',2,1,2,0
b'NetGroupEnum',2,1,2,0
b'NetGroupGetInfo',2,1,2,0
b'NetGroupGetUsers',2,1,2,0
b'NetGroupSetInfo',2,1,2,0
b'AtqContextSetInfo',2,1,2,0
b'AtqContextGetInfo',2,1,2,0
b'AtqCloseSocket',2,1,2,0
b'SymGetLineFromAddr64',2,1,2,0
b'AtqCloseEndpoint',2,1,2,0
b'AsyncWorkDispatcher_CreateInstance',2,1,2,0
b'SymGetModuleBase64',2,1,2,0
b'NetUseGetInfo',2,1,2,0
b'NetGroupAddUser',2,1,2,0
b'AtqGetDatagramAddrs',2,1,2,0
b'NetGroupAdd',2,1,2,0
b'AtqStopEndpoint',2,1,2,0
b'ASN1BEREncNull',2,1,2,0
b'AtqWriteSocket',2,1,2,0
b'AtqWriteDatagramSocket',2,1,2,0
b'NetDfsRemoveFtRootForced',2,1,2,0
b'AtqTerminate',2,1,2,0
b'PathCchRemoveBackslashEx',2,1,2,0
b'AtqStartEndpoint',2,1,2,0
b'AtqInitialize',2,1,2,0
b'NetDfsRemoveStdRoot',2,1,2,0
b'NetDfsSetClientInfo',2,2,2,0
b'NetDfsSetInfo',2,1,2,0
b'NetFileClose',2,1,2,0
b'NetFileGetInfo',2,1,2,0
b'NetGetAnyDCName',2,1,2,0
b'SspiPromptForCredentialsW',2,1,2,0
b'NsiSetAllPersistentParametersWithMask',2,1,2,0
b'NsiSetParameter',2,1,2,0
b'VRetrieveDriverErrorsRowCol',2,1,2,0
b'CheckAllowDecryptedRemoteDestinationPolicy',2,1,2,0
b'?on_target_view_changed@MapListener@ngeo@@UEAAXAEBVGeoCoordinates@2@@Z',2,1,2,0
b'?on_transfer_graphics_buffer@MapListener@ngeo@@UEAAXXZ',2,1,2,0
b'NtDeleteWnfStateData',2,1,2,0
b'NtDeletePrivateNamespace',2,1,2,0
b'CharPrevExA',2,2,2,0
b'?on_view_changed@MapListener@ngeo@@UEAAXAEBVGeoCoordinates@2@@Z',2,1,2,0
b'?on_view_changing@MapListener@ngeo@@UEAAXAEBVGeoCoordinates@2@@Z',2,1,2,0
b'?on_zoom_level@MapListener@ngeo@@UEAAXM@Z',2,1,2,0
b'?on_zoom_level_end@MapListener@ngeo@@UEAAXM@Z',2,1,2,0
b'?on_zoom_level_start@MapListener@ngeo@@UEAAXM@Z',2,1,2,0
b'OpenStateExplicitForUserSidString',2,2,2,0
b'?out@?$codecvt@DDH@std@@QEBAHAEAHPEBD1AEAPEBDPEAD3AEAPEAD@Z',2,1,2,0
b'?out@?$codecvt@GDH@std@@QEBAHAEAHPEBG1AEAPEBGPEAD3AEAPEAD@Z',2,1,2,0
b'NtDeleteBootEntry',2,1,2,0
b'?on_set_render_buffer_start@MapListener@ngeo@@UEAAXPEBVRenderBuffer@2@@Z',2,1,2,0
b'SnmpUtilOidCmp',2,1,2,0
b'PAL_QueryTransientObjectSecurityAttribute',2,1,2,0
b'SnmpUtilOidAppend',2,1,2,0
b'SnmpTfxQuery',2,1,2,0
b'ChrCmpIA',2,2,2,0
b'Chord',2,1,2,0
b'?on_remove_object@MapListener@ngeo@@UEAAXAEBUMapObjectHandle@2@@Z',2,1,2,0
b'VarBoolFromI8',2,1,2,0
b'CheckWindowThreadDesktop',2,1,2,0
b'VarBoolFromI4',2,1,2,0
b'VarBoolFromI2',2,1,2,0
b'VarBoolFromI1',2,1,2,0
b'CheckSumMappedFile',2,1,2,0
b'ValueClear',2,1,2,0
b'CheckNameLegalDOS8Dot3W',2,1,2,0
b'ValidateRgn',2,1,1,1
b'ValidateErrorQueue',2,1,2,0
b'SnmpUtilOctetsFree',2,1,2,0
b'NtDeleteAtom',2,1,2,0
b'ChangeServiceConfig2A',2,2,1,1
b'OpenThreadWaitChainSession',2,2,2,0
b'ChangeDisplaySettingsExA',2,1,2,0
b'?release@RefCountable@internal@ngeo@@QEAAXXZ',2,1,2,0
b'RegCopyTreeA',2,1,2,0
b'CertOIDToAlgId',2,1,2,0
b'??0?$AutoRelease@UIWbemQualifierSet@@@@QEAA@XZ',2,1,2,0
b'KeInitializeMutex',2,1,2,0
b'CertGetValidUsages',2,1,2,0
b'?remove_listener@View@ngeo@@QEAA?AW4ErrorCode@2@PEAVViewListener@2@@Z',2,1,2,0
b'CertGetServerOcspResponseContext',2,1,2,0
b'UrlmonCleanupCurrentThread',2,1,2,0
b'?remove_raster_tile_source@Map@ngeo@@QEAA?AW4ErrorCode@2@PEAVMapRasterTileSource@2@@Z',2,1,2,0
b'PAL_FreeTransientObjectSecurityAttribute',2,1,2,0
b'PAL_GetAppPlatformQualifier',2,1,2,0
b'??0?$AutoRelease@UIWbemPathKeyList@@@@QEAA@PEAUIWbemPathKeyList@@@Z',2,1,2,0
b'PAL_GetSupportedBrowseTypes',2,1,2,0
b'CertFreeServerOcspResponseContext',2,1,2,0
b'?radiusToIAS@VSAFilter@@QEBAJPEAUIAttributesRaw@@@Z',2,1,2,0
b'?radiusFromIAS@VSAFilter@@QEBAJPEAUIAttributesRaw@@H@Z',2,1,2,0
b'?push_back@GeoPolyline@ngeo@@QEAAXAEBVGeoCoordinates@2@@Z',2,1,2,0
b'??0?$AutoRelease@UIWbemServices@@@@QEAA@XZ',2,1,2,0
b'ChangeDisplaySettingsA',2,1,2,0
b'ChangeCurrentAnimationScenario',2,2,2,0
b'KeGetRecommendedSharedDataAlignment',2,1,2,0
b'SnmpUtilUnicodeToUTF8',2,1,2,0
b'OperationOptions_Create',2,1,2,0
b'VFreeErrors',2,1,2,0
b'??0?$AutoRelease@UIWbemServices@@@@QEAA@PEAUIWbemServices@@@Z',2,1,2,0
b'CertSetCRLContextProperty',2,1,2,0
b'VE_GetAllTilesInViewFastMarshal',2,1,2,0
b'KeInitializeDpc',2,1,2,0
b'NCryptEnumAlgorithms',2,1,2,0
b'?post@Event@auf_v18@@QEAAXXZ',2,1,2,0
b'?precision@ios_base@std@@QEBA_JXZ',2,1,2,0
b'CertSetCTLContextProperty',2,1,2,0
b'SnmpTfxOpen',2,1,2,0
b'?on_remove_all_objects@ViewListener@ngeo@@UEAAXXZ',2,1,2,0
b'ClassCache_AddClass',2,1,2,0
b'MsvpLm20GetNtlm3ChallengeResponse',2,1,2,0
b'VarDecFromI1',2,1,2,0
b'VarDecFix',2,1,2,0
b'MsvpCredentialToCachePasswords',2,1,2,0
b'?on_draw_blocking@ViewListener@ngeo@@UEAAXXZ',2,1,2,0
b'NtFlushInstructionCache',2,1,2,0
b'VarDateFromUdate',2,1,2,0
b'?on_get_object@ViewListener@ngeo@@UEAAXAEBUViewObjectHandle@2@@Z',2,1,2,0
b'?on_get_object_count@ViewListener@ngeo@@UEAAXI@Z',2,1,2,0
b'MsvpDecryptDpapiMasterKey',2,1,2,0
b'MsvpDeriveSecureCredKey',2,1,2,0
b'ShutdownPlatformLibrary',2,1,2,0
b'VarDateFromDec',2,1,2,0
b'ClipQueryAssociateId',2,1,2,0
b'VarDateFromCy',2,1,2,0
b'ClipInstallLicense',2,1,2,0
b'VarDecFromI2',2,1,2,0
b'VarDecFromI8',2,1,2,0
b'VarDecFromUI1',2,1,2,0
b'NtFlushVirtualMemory',2,1,2,0
b'VarI1FromDec',2,1,2,0
b'VarI1FromCy',2,1,2,0
b'VarI1FromBool',2,1,2,0
b'NtFreeUserPhysicalPages',2,1,2,0
b'OpenResourceManager',2,1,2,0
b'CloseThreadWaitChainSession',2,2,2,0
b'?notify_all@_Condition_variable@details@Concurrency@@QEAAXXZ',2,2,2,0
b'?on_add_object@MapListener@ngeo@@UEAAXAEBUMapObjectHandle@2@@Z',2,1,2,0
b'?notify_one@_Condition_variable@details@Concurrency@@QEAAXXZ',2,2,2,0
b'MsvpCompareCredentials',2,1,2,0
b'NtFlushProcessWriteBuffers',2,1,2,0
b'VarDecFromUI8',2,1,2,0
b'VarDecFromUI4',2,1,2,0
b'VarDecFromUI2',2,1,2,0
b'MsvpGMSACred',2,1,2,0
b'?on_initialize_map_model_end@MapModelListener@ngeo@@UEAAXAEBVMapModelOptions@2@W4ErrorCode@2@@Z',2,1,2,0
b'ClassCache_Delete',2,1,2,0
b'MsvpMakeSecretPasswordNT5',2,1,2,0
